Habitat,Habitat subtype,Description,Notes
marine-oceanic,abyssopelagic (4000-6000m),"Pelagic aphotic zone from a depth of 4,000 to 6,000 m.",NA
marine-deep ocean floor (benthic and demersal),NA,The bottom habitats described in the marine deep ocean floor zone are used by both benthic (living on or in the substrate at the bottom) and demersal (typically free-swimming near the bottom) organisms.,NA
marine-deep ocean floor (benthic and demersal),continental slope/bathyl zone (200-4000m)-hard substrate,"The bottom habitat on the steeper, seaward section of the continental (200–4,000 m) or island margin from a depth of around 200 to 2,000 m. Bottom type consisting of loose or consolidated rock, including deep karst systems (see 9.2 and 9.3).",NA
marine-deep ocean floor (benthic and demersal),continental slope/bathyl zone (200-4000m)-soft substrate,"The bottom habitat on the steeper, seaward section of the continental (200–4,000 m) or island margin from a depth of around 200 to 2,000 m. Bottom type consisting of mud or sand or a mixture of mud and sand; most typically consisting of mud (see 9.4, 9.5, 9.6 for sediment sizes).",NA
marine-deep ocean floor (benthic and demersal),abyssal plain (4000-6000m),"The nearly flat area of the deep ocean floor lying between 4,000 and 6,000 m.",NA
marine-deep ocean floor (benthic and demersal),abyssal mountain/hills (4000-6000m),"The hilly or mountainous area of the deep ocean floor lying between (4,000–6,000m) 4,000 and 6,000 m.",NA
marine-deep ocean floor (benthic and demersal),hadal/deep sea trench (>6000m),"The bottom below 6,000 m.",NA
marine-deep ocean floor (benthic and demersal),seamount,Extinct volcano or steep-sided formation that rises abruptly from the deep sea floor but does not reach the surface.,NA
marine-deep ocean floor (benthic and demersal),deep sea vents (rifts/seeps),"An environment with ambient temperatures above normal, on the deep sea floor that depends on geothermal energy as the basis for biological productivity.",NA
marine-intertidal,NA,Area of the shore between the extremes of high and low tides.,NA
marine-intertidal,rocky shoreline,Intertidal shore composed predominantly of consolidated rock or boulders (see 9.2).,NA
marine-intertidal,"sandy shorline and/or beaches, sand bars, spits, etc.",Intertidal shore composed predominantly of sandy sediments (see 9.4 for sediment size characteristics).,NA
marine-intertidal,shingle and/or pebble shoreline and/or beaches,Intertidal shore composed predominantly of pebble and cobble sediments (see 9.3 for sediment size characteristics).,NA
marine-intertidal,mud shoreline and intertidal mud flats,Intertidal Intertidal shore or bottom composed predominantly of mud or sandy- mud sediments (see 9.4 and 9.5 for sediment size characteristics).,NA
marine-intertidal,salt marshes (emergent grasses),A grassy area that extends along the shores of estuaries and sheltered coasts in temperate and subpolar regions with emergent vegetation rooted in soils alternately inundated and drained by tidal action.,NA
marine-intertidal,tidepools,An intertidal depression in rocks or in sandy beaches that continues to hold water during low tide (also called tidal pools).,NA
marine-intertidal,mangrove submerged roots,Intertidal zone in mangrove forests (see 1.7).,NA
marine-coastal/supratidal,NA,Coastal habitats above the high tide mark These largely match to the coastal habitats used by Ramsar.,NA
marine-coastal/supratidal,sea cliffs and rocky offshore islands,Would include limestone areas,NA
marine-coastal/supratidal,coastal caves/karst,sea caves and other subterranean hydrological systems along the coast. (See 9.2 and 12.1).,NA
marine-coastal/supratidal,coastal sand dunes,Dune systems (including humid dune slacks). Note that inland dune systems and sandspits along rivers or near lakes (not in deserts) are not currently covered by this classification scheme.,NA
marine-coastal/supratidal,coastal brackish/saline lagoons/marine lakes,Brackish to saline lagoons and lakes with at least one relatively narrow connection to the sea. Often formed from sea inlets by silting and cut off from the sea by sand or mud banks.,NA
marine-coastal/supratidal,coastal freshwater lakes,Includes freshwater delta lagoons (see 5.5 and 5.6).,NA
artificial-terrestrial,arable land,"Includes cereal fields, rice paddies, perennial crops, orchards and groves (but see 14.3 and 14.4).",NA
artificial-terrestrial,pastureland,"Includes fertilized or re-seeded permanent grasslands, sometimes treated with selective herbicides, with very impoverished flora and fauna. Also includes secondary grasslands and wooded farmland.",NA
artificial-terrestrial,plantations,"A plantation is an intentional planting of a crop, on a larger scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming. Plantations are typically (but not exclusively) found in tropical or semitropical countries and usually require resident labourers. Examples include cotton, tobacco, sugar cane, banana, sisal, coffee, rubber, oil palm, coconut, timber trees, pineapples.",NA
artificial-terrestrial,rural gardens,"Rural gardens are located in a rural setting, serving families whose main income comes from wage labour (rural or urban). Rural gardens differ from arable land production by the following features which are usually, but by no means in all cases, found simultaneously: (1) cropping plants for personal consumption that cannot be collected nor supplied by arable farming, (2) small plots, (3) proximity to the house, (4) fencing, (5) mixed or dense planting of a great number of annual, semi-permanent, and perennial crops, (6) a high intensity of land use, (7) land cultivation several times a year, (8) permanence of cultivation, and (9) cultivation with hand implements. These gardens also provide space and/or fodder for the raising of small animals (usually poultry, rodents and small ruminants). In extreme cases, the rural garden may be the only source of livelihood and income for the rural poor. If enough space is available, small cash crops may be produced and exchanged or sold for purchased food.",NA
artificial-terrestrial,urban areas,"Occurs throughout the world. Usually metropolitan and commercial areas dominated by asphalt, concrete and roof. Includes buildings, lawns and parks.",NA
artificial-terrestrial,subtropical/tropical heavily degraded former forest,Former subtropical or tropical forest that has been extensively cleared or impacted by human activities. Often there is some degree of regeneration or there are small fragments of forest remaining.,NA
artificial-aquatic,water storage areas (over 8 ha),"Includes reservoirs, barrages, dams and impoundments.",NA
artificial-aquatic,ponds (below 8 ha),"Includes farm ponds, stock ponds, small tanks.",NA
artificial-aquatic,aquaculture ponds,"For example, fish or shrimp ponds.",NA
artificial-aquatic,salt exploitation sites,"Salt pans, salines, etc.",NA
artificial-aquatic,excavations (open),"Gravel, brick, clay pits, borrow pits and mining pools",NA
artificial-aquatic,irrigated land (includes irrigation channels),"Sewage farms, settling ponds, oxidation basins, etc.",NA
artificial-aquatic,NA,Includes irrigation channels and paddy (rice) fields.,NA
artificial-aquatic,seasonally flooded agricultural land,Including intensively managed or grazed wet meadow or pasture.,NA
artificial-aquatic,"canals and drainage channels, ditches","Linear excavations (varying enormously in size) made specifically to improve drainage of farmland, for controlling river courses, for controlling flow of water, for allowing ship movement, etc.",NA
artificial-aquatic,karst and other subterranean hydrological systems (human-made),Human-made subterranean systems.,NA
artificial-aquatic,marine anthropogenic structures,"Artificial reefs, docks, seawalls, rip rap, etc.",NA
artificial-aquatic,mariculture cages,"Cages (made out of net or mesh) located in an open environment which includes both the sea and inland brackish water areas, for the culture of organisms, both plants and animals.",NA
artificial-aquatic,mari/brackish culture ponds,"Ponds Human-made saltwater or brackish ponds for the cultivation of organisms, both plants and animals.",NA
introduced vegetation,NA,Includes only non-cultivated species or those that have escaped from cultivation.,NA
